9.553471437450764e-11,3.726114173179026e-9
3.9931948733104827e-10,3.907291724145394e-9
9.615946455025373e-10,4.3321218436527415e-9
1.851603333367501e-9,5.01622328609472e-9
3.1734705802169553e-9,6.005411064359377e-9
5.0622986115559946e-9,7.366064884619735e-9
7.69692216519194e-9,9.185649771480248e-9
1.1306936930711482e-8,1.157063356739098e-8
1.6173220174627137e-8,1.46558581852838e-8
2.264198761933154e-8,1.8599853982254277e-8
3.112010781677933e-8,2.360019820138212e-8
4.207978777480527e-8,2.988622621968079e-8
5.605570951881874e-8,3.774480249284703e-8
7.363696040203364e-8,4.752943149532385e-8
9.545063341335514e-8,5.966207990831308e-8
1.2214829092357178e-7,7.466936006745408e-8
1.5439372999441376e-7,9.317888558679839e-8
1.928257576805815e-7,1.1595805793222084e-7
2.3805558790401326e-7,1.439072982945155e-7
2.90631178631353e-7,1.7807410446834997e-7
3.5103228593505906e-7,2.196572158534371e-7
4.196538039887177e-7,2.69982664697798e-7
4.968169585076916e-7,3.3048763671822183e-7
5.827732114377186e-7,4.02692877967504e-7
6.777378412768579e-7,4.881464673186286e-7
7.818860383868917e-7,5.883665476986588e-7
8.954010628193721e-7,7.047692195059523e-7
1.018522922766815e-6,8.386081480931729e-7
1.1515770089457546e-6,9.909024571845067e-7
1.294995960852895e-6,1.1623974216771037e-6
1.4493365870823704e-6,1.3534743994907425e-6
1.615266329071936e-6,1.5641245399979335e-6
1.7936103776787228e-6,1.7939498252742116e-6
1.9852904997245298e-6,2.042173482601066e-6
2.1913023908019527e-6,2.3076600285340778e-6
2.412632635563523e-6,2.5889519729757463e-6
2.650223565524325e-6,2.8843205801272673e-6
2.9049316090502775e-6,3.191886653522511e-6
3.1774335788317714e-6,3.5096856141713295e-6
3.4681800759330643e-6,3.835751841833282e-6
3.7773306719615444e-6,4.16819026097527e-6
4.1047429759396556e-6,4.505262764545857e-6
4.4499437396092715e-6,4.845454853994001e-6
4.812128857431691e-6,5.1875073974030025e-6
5.190178725029464e-6,5.530457758877066e-6
5.58268114669283e-6,5.873629646350946e-6
5.987993550084722e-6,6.216641181279718e-6
6.40428411562734e-6,6.559381470507187e-6
6.829605444960367e-6,6.90197442281821e-6
7.261950007519074e-6,7.244738921114989e-6
